,Probe_ID,statistic,pvalue,adj_p_value
1273,232618_at,1.0308021,3.16E-01,1.00E+00
1423,241703_at,1.01686159,3.20E-01,1.00E+00
901,222771_s_at,1.014722895,3.22E-01,1.00E+00
525,209821_at,1.007065383,3.29E-01,1.00E+00
1151,229215_at,1.001536034,3.34E-01,1.00E+00
308,205440_s_at,0.996822366,3.31E-01,1.00E+00
498,209309_at,0.987259632,3.41E-01,1.00E+00
1276,232676_x_at,0.98676594,3.36E-01,1.00E+00
721,215103_at,0.979750328,3.43E-01,1.00E+00
745,216255_s_at,0.979407641,3.40E-01,1.00E+00
382,206104_at,0.976829069,3.42E-01,1.00E+00
1173,229613_at,0.910376606,3.75E-01,1.00E+00
876,221728_x_at,0.901710818,3.79E-01,1.00E+00
1297,234640_x_at,0.887167997,3.84E-01,1.00E+00
578,210861_s_at,0.881529787,3.87E-01,1.00E+00
534,209942_x_at,0.877253016,3.88E-01,1.00E+00
752,216627_s_at,0.871163052,3.95E-01,1.00E+00
638,213325_at,0.841937206,4.09E-01,1.00E+00
266,205009_at,0.838954213,4.17E-01,1.00E+00
377,206033_s_at,0.838180898,4.10E-01,1.00E+00
524,209811_at,0.83287886,4.20E-01,1.00E+00
715,215028_at,0.831997672,4.13E-01,1.00E+00
1176,229638_at,0.826441724,4.19E-01,1.00E+00
278,205174_s_at,0.797538061,4.34E-01,1.00E+00
293,205295_at,0.790370564,4.38E-01,1.00E+00
1191,229963_at,0.789082941,4.38E-01,1.00E+00
691,214382_at,0.788310465,4.42E-01,1.00E+00
900,222731_at,0.777705319,4.47E-01,1.00E+00
651,213674_x_at,0.767326985,4.49E-01,1.00E+00
1204,230360_at,0.76713584,4.49E-01,1.00E+00
1370,237727_at,0.766021035,4.51E-01,1.00E+00
363,205927_s_at,0.744219483,4.71E-01,1.00E+00
1023,226809_at,0.720253791,4.81E-01,1.00E+00
1291,233604_at,0.717993958,4.87E-01,1.00E+00
955,224590_at,0.717080006,4.83E-01,1.00E+00
687,214218_s_at,0.716718745,4.83E-01,1.00E+00
831,220004_at,0.716481142,4.81E-01,1.00E+00
1229,231120_x_at,0.713846019,4.87E-01,1.00E+00
1073,227671_at,0.711361077,4.87E-01,1.00E+00
1419,241365_at,0.709979263,4.83E-01,1.00E+00
1360,236892_s_at,0.706980664,4.89E-01,1.00E+00
475,208025_s_at,0.687534398,4.99E-01,1.00E+00
1198,230135_at,0.683382891,5.05E-01,1.00E+00
1162,229400_at,0.675386781,5.04E-01,1.00E+00
255,204932_at,0.671519626,5.10E-01,1.00E+00
926,223642_at,0.659003217,5.20E-01,1.00E+00
286,205229_s_at,0.654512441,5.22E-01,1.00E+00
1090,227875_at,0.643787499,5.28E-01,1.00E+00
1143,228988_at,0.634005405,5.32E-01,1.00E+00
1469,244246_at,0.62830292,5.37E-01,1.00E+00
376,206032_at,0.612965649,5.46E-01,1.00E+00
373,206023_at,0.608177093,5.52E-01,1.00E+00
1373,238017_at,0.594385044,5.64E-01,1.00E+00
953,224588_at,0.585095397,5.66E-01,1.00E+00
23,1554242_a_at,0.577261171,5.71E-01,1.00E+00
445,207014_at,0.567092961,5.79E-01,1.00E+00
954,224589_at,0.56199162,5.82E-01,1.00E+00
879,221795_at,0.550482668,5.87E-01,1.00E+00
678,214043_at,0.550430645,5.87E-01,1.00E+00
931,223710_at,0.545674723,5.92E-01,1.00E+00
1202,230318_at,0.535852334,6.03E-01,1.00E+00
1482,44790_s_at,0.532256605,6.00E-01,1.00E+00
1054,227449_at,0.514480895,6.12E-01,1.00E+00
843,220177_s_at,0.509979045,6.20E-01,1.00E+00
1274,232628_at,0.507465874,6.19E-01,1.00E+00
332,205654_at,0.497676797,6.26E-01,1.00E+00
290,205267_at,0.495990722,6.27E-01,1.00E+00
256,204933_s_at,0.494892229,6.28E-01,1.00E+00
164,203889_at,0.489046909,6.28E-01,1.00E+00
483,208383_s_at,0.488750468,6.32E-01,1.00E+00
903,222853_at,0.477381932,6.41E-01,1.00E+00
1230,231152_at,0.464557205,6.48E-01,1.00E+00
80,1569110_x_at,0.463950875,6.49E-01,1.00E+00
998,226269_at,0.45661497,6.53E-01,1.00E+00
1295,233819_s_at,0.455588541,6.53E-01,1.00E+00
336,205694_at,0.449686205,6.56E-01,1.00E+00
859,220736_at,0.434617848,6.69E-01,1.00E+00
768,217678_at,0.43427403,6.72E-01,1.00E+00
780,218872_at,0.411369132,6.87E-01,1.00E+00
880,221796_at,0.410488641,6.86E-01,1.00E+00
792,219250_s_at,0.377042439,7.11E-01,1.00E+00
292,205278_at,0.368611962,7.17E-01,1.00E+00
59,1558217_at,0.358579131,7.25E-01,1.00E+00
61,1558930_at,0.339535881,7.38E-01,1.00E+00
781,218888_s_at,0.330242038,7.45E-01,1.00E+00
794,219312_s_at,0.327648713,7.45E-01,1.00E+00
682,214135_at,0.326259308,7.49E-01,1.00E+00
852,220446_s_at,0.310012105,7.60E-01,1.00E+00
1238,231484_at,0.284064153,7.79E-01,1.00E+00
395,206207_at,0.274131822,7.88E-01,1.00E+00
1480,39248_at,0.271004681,7.91E-01,1.00E+00
902,222774_s_at,0.268196894,7.92E-01,1.00E+00
807,219747_at,0.267844363,7.92E-01,1.00E+00
1203,230319_at,0.263767992,7.95E-01,1.00E+00
692,214385_s_at,0.260039717,7.98E-01,1.00E+00
477,208121_s_at,0.257558941,8.00E-01,1.00E+00
203,204410_at,0.240718635,8.12E-01,1.00E+00
1379,238429_at,0.238130654,8.13E-01,1.00E+00
1199,230147_at,0.230106132,8.22E-01,1.00E+00
788,219109_at,0.229910094,8.20E-01,1.00E+00
742,216039_at,0.228786811,8.23E-01,1.00E+00
928,223646_s_at,0.216683062,8.31E-01,1.00E+00
299,205343_at,0.208575768,8.38E-01,1.00E+00
820,219909_at,0.207016684,8.38E-01,1.00E+00
1158,229309_at,0.197000103,8.47E-01,1.00E+00
85,200952_s_at,0.196302787,8.47E-01,1.00E+00
1232,231180_at,0.192902834,8.49E-01,1.00E+00
1189,229927_at,0.190030041,8.52E-01,1.00E+00
509,209591_s_at,0.174061059,8.64E-01,1.00E+00
1289,233463_at,0.171553745,8.66E-01,1.00E+00
1258,232252_at,0.166611502,8.69E-01,1.00E+00
