"","Gene","statistic","pvalue","adj_p_value"
"133","1552489_s_at"," 9.633070e-01","3.488218e-01","1.000000e+00"
"134","1552490_at"," 2.519936e+00","1.924504e-02","1.000000e+00"
"135","1552491_at"," 2.746752e+00","1.165536e-02","1.000000e+00"
"136","1552493_s_at"," 8.128679e-01","4.286083e-01","1.000000e+00"
"137","1552494_at"," 1.368224e+00","1.912114e-01","1.000000e+00"
"138","1552496_a_at"," 3.290563e+00","3.313091e-03","1.000000e+00"
"139","1552498_at"," 1.075281e+00","2.982133e-01","1.000000e+00"
"140","1552499_a_at"," 1.772303e+00","9.955674e-02","1.000000e+00"
"141","1552502_s_at"," 2.998416e+00","7.952382e-03","1.000000e+00"
"142","1552503_at"," 1.355858e+00","1.995685e-01","1.000000e+00"
"143","1552504_a_at","-6.376501e-01","5.344274e-01","1.000000e+00"
"144","1552506_at"," 3.196301e+00","3.706917e-03","1.000000e+00"
"145","1552507_at","-6.697506e+00","5.123028e-05","1.000000e+00"
"146","1552508_at","-7.011861e+00","3.318679e-05","1.000000e+00"
"147","1552509_a_at","-7.940701e-01","4.439132e-01","1.000000e+00"
"148","1552510_at","-8.325378e-03","9.934551e-01","1.000000e+00"
"149","1552511_a_at"," 3.386078e+00","1.984461e-03","1.000000e+00"
"150","1552514_at"," 5.654958e-01","5.792030e-01","1.000000e+00"
"151","1552515_at","-2.843377e+00","1.063908e-02","1.000000e+00"
"152","1552516_a_at","-5.509981e-01","5.882237e-01","1.000000e+00"
"153","1552518_s_at"," 1.342087e+00","1.942933e-01","1.000000e+00"
"154","1552519_at"," 3.402243e+00","2.680522e-03","1.000000e+00"
"155","1552520_at"," 5.385595e-01","5.957958e-01","1.000000e+00"
"156","1552521_a_at","-1.490227e+00","1.521620e-01","1.000000e+00"
"157","1552522_at"," 1.690106e+00","1.107034e-01","1.000000e+00"
"158","1552523_a_at"," 1.439741e+00","1.702116e-01","1.000000e+00"
"159","1552524_at"," 1.610683e+00","1.272162e-01","1.000000e+00"
"160","1552526_at"," 2.000627e+00","6.300013e-02","1.000000e+00"
"161","1552528_at"," 3.986949e-01","6.946200e-01","1.000000e+00"
"162","1552532_a_at"," 1.276139e+00","2.162899e-01","1.000000e+00"
"163","1552535_at"," 1.517014e+00","1.475650e-01","1.000000e+00"
"164","1552536_at","-6.094649e-01","5.496626e-01","1.000000e+00"
"165","1552538_a_at"," 1.150803e+00","2.723350e-01","1.000000e+00"
"166","1552540_s_at"," 1.019618e+00","3.233404e-01","1.000000e+00"
"167","1552541_at","-1.976851e+00","6.324161e-02","1.000000e+00"
"168","1552542_s_at","-3.399305e+00","3.530770e-03","1.000000e+00"
"169","1552543_a_at"," 2.716292e+00","1.474930e-02","1.000000e+00"
"170","1552544_at"," 1.530843e+00","1.435220e-01","1.000000e+00"
"171","1552546_a_at","-8.742606e-01","4.001018e-01","1.000000e+00"
"172","1552548_at"," 1.442223e+00","1.607528e-01","1.000000e+00"
"173","1552549_a_at"," 1.108068e+00","2.867462e-01","1.000000e+00"
"174","1552552_s_at","-1.764182e-02","9.861131e-01","1.000000e+00"
"175","1552553_a_at","-3.593106e+00","3.232479e-03","1.000000e+00"
"176","1552555_at","-2.115517e-01","8.340716e-01","1.000000e+00"
"177","1552557_a_at","-2.607961e+00","2.414626e-02","1.000000e+00"
"178","1552558_a_at"," 2.535751e+00","2.287799e-02","1.000000e+00"
"179","1552559_a_at"," 1.806889e+00","8.668635e-02","1.000000e+00"
"180","1552563_a_at","-9.635675e-01","3.512343e-01","1.000000e+00"
"181","1552564_at","-4.341180e-01","6.700221e-01","1.000000e+00"
"182","1552566_at","-1.954159e-01","8.471821e-01","1.000000e+00"
"183","1552568_at"," 1.795449e+00","9.352275e-02","1.000000e+00"
"184","1552569_a_at","-1.880513e-01","8.534986e-01","1.000000e+00"
"185","1552570_at"," 8.710424e-01","3.976077e-01","1.000000e+00"
"186","1552575_a_at","-7.240409e-01","4.782826e-01","1.000000e+00"
"187","1552576_at"," 9.709864e-01","3.478867e-01","1.000000e+00"
"188","1552578_a_at"," 3.209410e+00","3.283858e-03","1.000000e+00"
"189","1552579_a_at","-4.429307e-02","9.653093e-01","1.000000e+00"
"190","1552580_at"," 1.048131e+00","3.152716e-01","1.000000e+00"
"191","1552582_at"," 1.607558e+00","1.242500e-01","1.000000e+00"
"192","1552583_s_at"," 2.948100e+00","6.418263e-03","1.000000e+00"
"193","1552584_at","-9.031886e-01","3.837692e-01","1.000000e+00"
"194","1552585_s_at","-6.686462e-01","5.154181e-01","1.000000e+00"
"195","1552586_at"," 1.692468e+00","1.124452e-01","1.000000e+00"
"196","1552587_at"," 1.744613e+00","9.316670e-02","1.000000e+00"
"197","1552588_a_at","-6.396223e-01","5.332424e-01","1.000000e+00"
"198","1552590_a_at"," 9.464943e-01","3.546997e-01","1.000000e+00"
"199","1552592_at"," 1.604585e+00","1.230659e-01","1.000000e+00"
"200","1552594_at"," 1.778341e+00","9.109733e-02","1.000000e+00"
"201","1552596_at"," 2.955566e+00","7.983967e-03","1.000000e+00"
"202","1552598_at","-1.044054e+00","3.179372e-01","1.000000e+00"
"203","1552599_at"," 1.908281e+00","7.786599e-02","1.000000e+00"
"204","1552602_at"," 9.648709e-01","3.521840e-01","1.000000e+00"
"205","1552604_at"," 1.842821e+00","7.718678e-02","1.000000e+00"
"206","1552605_s_at"," 2.281398e+00","3.525667e-02","1.000000e+00"
"207","1552607_at","-1.351001e+00","1.954916e-01","1.000000e+00"
"208","1552608_at"," 4.636537e+00","6.203394e-05","1.000000e+00"
"209","1552609_s_at"," 6.079150e-01","5.503792e-01","1.000000e+00"
